Year,Month,Date,Tsunami,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Country
1632,,,,42.4,18.4,,,,,BALKANS NW
1633,3.0,1.0,Yes,35.2,139.2,,7.1,150.0,,JAPAN
1633,5.0,14.0,Yes,-41.8,-73.8,,,,,CHILE
1633,11.0,5.0,Yes,37.5,21.0,,6.9,,,GREECE
1633,,,,38.0,46.2,,,,,IRAN
1634,1.0,,,34.1,105.3,,6.0,30.0,,CHINA
1634,3.0,,Yes,30.7,115.1,,5.5,,,CHINA
1634,12.0,,,35.1,107.6,,5.5,,,CHINA
1636,9.0,30.0,Yes,38.1,20.3,,7.2,520.0,,GREECE
1636,10.0,1.0,,38.1,20.3,,,,,GREECE
1636,12.0,18.0,,5.1,-2.2,,5.7,,,GHANA
1636,12.0,21.0,,7.6,123.7,,,,,PHILIPPINES
1638,3.0,27.0,Yes,39.033,16.283,,7.0,9581.0,,ITALY
1638,6.0,9.0,,39.25,16.75,,,52.0,,ITALY
1639,5.0,4.0,,36.2,50.0,,,12000.0,,IRAN
1639,7.0,28.0,,42.5,18.1,,,,,BALKANS NW
1639,10.0,8.0,,42.6,13.3,,,,,ITALY
1639,12.0,,,-30.0,-71.4,,,,,CHILE
1640,2.0,27.0,,38.2,46.3,15.0,5.1,,,IRAN
1640,2.0,,,-1.7,-78.6,,,5000.0,,ECUADOR
1640,4.0,4.0,Yes,50.8,5.7,,,,,GERMANY
1640,6.0,19.0,,38.57,16.53,,,300.0,,ITALY
1640,7.0,31.0,Yes,42.07,140.68,,6.5,,,JAPAN
1640,9.0,16.0,Yes,23.0,117.0,,,,,CHINA
1640,,,,45.9,15.5,,,,,BALKANS NW
1641,1.0,4.0,,18.2,121.7,,,,,PHILIPPINES
1641,1.0,10.0,,-1.5,-78.5,,7.6,,,ECUADOR
1641,2.0,5.0,,38.0,46.1,,,30000.0,,IRAN
1641,6.0,11.0,,10.9,-66.7,,,,,VENEZUELA
1641,11.0,26.0,,23.5,116.5,,5.8,,,CHINA
1641,,,,42.3,22.7,,,,,BULGARIA
1642,6.0,30.0,,35.1,111.1,,6.0,,,CHINA
1642,9.0,4.0,Yes,35.2,140.6,,6.7,,,"BOSO, JAPAN"
1643,7.0,25.0,Yes,35.5,129.5,,6.5,,,SEA OF JAPAN
1644,1.0,16.0,,7.5,-72.5,,7.0,,,COLOMBIA
1644,2.0,15.0,,43.0,8.0,,,150.0,,FRANCE
1644,3.0,16.0,,7.6,-73.0,,,,,VENEZUELA
1644,10.0,18.0,Yes,39.4,140.1,,6.9,,,JAPAN
1645,2.0,19.0,,-1.7,-78.6,,7.5,,,ECUADOR
1645,11.0,30.0,Yes,14.4,121.0,,8.0,600.0,2500.0,PHILIPPINES
1645,12.0,5.0,,14.4,121.0,,,,,PHILIPPINES
1646,2.0,17.0,,38.3,43.2,,,,,TURKEY
1646,4.0,5.0,Yes,43.55,10.317,,5.2,,,ITALY
1646,4.0,5.0,Yes,41.04,28.98,,,,,TURKEY
1646,5.0,31.0,,41.9,15.8,,,,,ITALY
1646,6.0,9.0,Yes,37.7,141.7,,7.6,,,JAPAN
1647,5.0,7.0,Yes,-15.5,-75.0,,,,,PERU
1647,5.0,14.0,,-33.4,-70.6,,8.5,1000.0,,CHILE
1647,6.0,16.0,,36.0,140.0,,6.4,,,JAPAN
1648,3.0,31.0,,38.3,43.2,,,2000.0,,TURKEY
1648,,,,45.0,14.9,,,,,BALKANS NW
1648,,,,12.5,-86.8,,,,,NICARAGUA
1648,,,,15.0,121.0,,,,,PHILIPPINES
1649,1.0,,Yes,38.183,15.55,,5.0,,,ITALY
1649,7.0,29.0,Yes,35.5,140.0,,,200.0,,JAPAN
